zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate,pop_total,pop_white,pop_black,pop_latino,median_income,application_per_thousand,approval_per_thousand,pct_black,pct_white,pct_latino,non_white
70085,LA,8560.0,7789.0,5539.0,52397042.440000005,498.0,9459.657418306557,0.6470794392523365,4822.0,4492.0,218.0,897.0,21332.0,0.0017751970136872669,0.0011486934881791788,0.0452094566569888,0.9315636665284115,0.1860223973454998,0.06843633347158855
70086,LA,2249.0,2095.0,1267.0,4710696.250000001,316.0,3717.99230465667,0.5633614939973322,2018.0,95.0,1874.0,42.0,20888.0,0.0011144697720515363,0.0006278493557978197,0.9286422200198216,0.04707631318136769,0.02081268582755203,0.9529236868186323
70087,LA,9385.0,8358.0,5038.0,14061373.37,403.0,2791.062598253275,0.5368140649973362,6770.0,2905.0,3390.0,707.0,23982.0,0.0013862629246676513,0.000744165435745938,0.5007385524372231,0.42909896602658787,0.10443131462333825,0.5709010339734121
70089,LA,1.0,1.0,1.0,3098.0,43.0,3098.0,1.0,,,,,,,,,,,
70090,LA,7372.0,6920.0,3903.0,12141575.55,500.0,3110.8315526518063,0.5294357026587087,7278.0,3198.0,3823.0,279.0,23794.0,0.0010129156361637812,0.0005362737015663643,0.5252816707886782,0.43940643033800497,0.03833470733718054,0.560593569661995
70091,LA,1069.0,931.0,600.0,5148430.53,306.0,8580.717550000001,0.5612722170252572,377.0,324.0,29.0,123.0,30774.0,0.002835543766578249,0.0015915119363395225,0.07692307692307693,0.8594164456233422,0.32625994694960214,0.14058355437665782
70092,LA,13427.0,12428.0,8405.0,75516666.12,451.0,8984.731245687091,0.6259775080062561,8601.0,4001.0,4316.0,468.0,26291.0,0.0015610975467968843,0.0009772119520985933,0.5018021160330194,0.46517846762004417,0.05441227764213463,0.5348215323799558
70093,LA,5.0,5.0,2.0,36166.22,160.0,18083.11,0.4,,,,,,,,,,,
70094,LA,47433.0,42520.0,26086.0,99460889.3,745.0,3812.807226098291,0.5499546729070478,30712.0,13017.0,14499.0,3425.0,25390.0,0.0015444451680125034,0.0008493748371971868,0.47209559781193017,0.4238408439697838,0.11151992706433968,0.5761591560302162
70095,LA,2.0,2.0,2.0,11750.59,90.0,5875.295,1.0,,,,,,,,,,,
