pop_total,pop_white,pop_black,pop_latino,median_income,state,zip code tabulation area,zipcode
9773,7533,362,378,62387,25,02460,02460
7084,5380,116,447,68389,25,02461,02461
1389,1018,0,82,45179,25,02462,02462
3326,2170,161,141,61979,25,02464,02464
11814,9295,306,491,68297,25,02465,02465
8929,6660,239,480,33442,25,02466,02466
22269,16231,970,1630,31215,25,02467,02467
5623,4736,61,187,94464,25,02468,02468
35518,29413,577,3281,54568,25,02472,02472
27878,22186,673,1505,57971,25,02474,02474
17426,13904,730,721,58037,25,02476,02476
26099,20070,370,1131,62707,25,02478,02478
16140,13305,548,799,54523,25,02481,02481
10855,8651,147,519,65128,25,02482,02482
20571,18233,552,508,62264,25,02492,02492
12112,9549,225,457,46597,25,02493,02493
10399,8177,339,491,64694,25,02494,02494
13218,12133,88,464,37349,25,02532,02532
887,860,14,79,38403,25,02534,02534
1753,1508,28,118,32794,25,02535,02535
19630,17634,506,646,33081,25,02536,02536
6689,6284,170,24,47609,25,02537,02537
4128,3209,44,319,30530,25,02538,02538
4320,3732,52,300,42083,25,02539,02539
8346,7580,110,136,35464,25,02540,02540
949,778,60,121,32500,25,02542,02542
649,641,0,0,44850,25,02543,02543
111,111,0,0,,25,02553,02553
10935,9571,829,465,44656,25,02554,02554
2499,2480,4,1,48295,25,02556,02556
4665,4160,235,98,45247,25,02557,02557
1170,841,110,0,27264,25,02558,02558
3746,3720,8,27,32283,25,02559,02559
296,296,0,0,53971,25,02561,02561
3094,2928,37,98,42163,25,02562,02562
9861,9312,14,384,41350,25,02563,02563
233,177,42,0,43500,25,02564,02564
4107,3507,474,52,32232,25,02568,02568
10608,8969,390,430,32256,25,02571,02571
2418,2291,24,62,47480,25,02575,02575
4383,4031,62,52,40245,25,02576,02576
0,0,0,0,,25,02584,02584
15677,12625,2058,2083,29081,25,02601,02601
1957,1900,3,0,47708,25,02630,02630
9730,9419,94,216,37660,25,02631,02631
10208,9560,89,142,42708,25,02632,02632
4070,3935,74,27,36185,25,02633,02633
3004,2831,145,73,34946,25,02635,02635
199,199,0,0,76382,25,02637,02637
3126,2970,33,12,41862,25,02638,02638
3198,2722,383,151,30379,25,02639,02639
194,194,0,0,,25,02641,02641
4876,4503,83,43,36563,25,02642,02642
0,0,0,0,,25,02643,02643
3791,3757,0,28,33163,25,02644,02644
9116,8400,333,189,31852,25,02645,02645
2094,2035,30,33,32146,25,02646,02646
97,97,0,0,,25,02647,02647
6667,6468,165,114,43858,25,02648,02648
14148,12195,456,88,37454,25,02649,02649
901,853,48,84,47000,25,02650,02650
25,25,0,0,26838,25,02651,02651
687,687,0,0,37287,25,02652,02652
5856,5505,210,109,32091,25,02653,02653
3208,2945,46,224,41795,25,02655,02655
2973,2718,57,124,34541,25,02657,02657
1021,984,18,25,31087,25,02659,02659
6196,5798,119,78,32120,25,02660,02660
102,102,0,0,38938,25,02663,02663
8693,8145,29,224,31044,25,02664,02664
435,396,38,17,37763,25,02666,02666
3515,3168,70,44,33452,25,02667,02667
2660,2539,59,0,48563,25,02668,02668
27,27,0,0,,25,02669,02669
1195,1163,19,56,38667,25,02670,02670
1026,968,20,50,45724,25,02671,02671
277,236,0,0,60952,25,02672,02672
8517,6984,512,321,31293,25,02673,02673
6580,6384,8,93,37872,25,02675,02675
4382,4226,4,175,44352,25,02702,02702
44789,39454,1992,2952,38838,25,02703,02703
49,49,0,0,54063,25,02713,02713
3893,3659,112,6,49282,25,02715,02715
4917,4563,40,105,39555,25,02717,02717
6394,5493,442,340,39301,25,02718,02718
16045,14615,110,327,31928,25,02719,02719
30160,25283,1450,2395,27277,25,02720,02720
25978,20831,2191,2518,22717,25,02721,02721
15066,11666,969,2041,24512,25,02723,02723
17769,13860,628,2466,24320,25,02724,02724
2487,2366,83,38,36200,25,02725,02725
15678,15496,6,127,37564,25,02726,02726
5132,4527,74,228,34740,25,02738,02738
6336,6171,0,154,50188,25,02739,02739
43454,25652,3817,7884,25290,25,02740,02740
10529,9664,7,358,36005,25,02743,02743
11170,6691,922,2868,24459,25,02744,02744
24993,20439,689,2662,32285,25,02745,02745
15417,7536,1208,6412,21275,25,02746,02746
22947,20445,1033,670,25184,25,02747,02747
11607,10874,49,377,39289,25,02748,02748
27474,24044,473,1644,40881,25,02760,02760
9183,8155,445,414,45475,25,02762,02762
1706,1520,97,0,59418,25,02763,02763
