zipcode,state,totalValidRegistrations,ihpReferrals,ihpEligible,ihpAmount,FIP_disaster_count,average_project,approved_rate
73742,OK,20.0,16.0,10.0,32854.09,35,3285.4089999999997,0.5
73744,OK,12.0,10.0,1.0,1259.41,32,1259.41,0.08333333333333333
73746,OK,1.0,1.0,1.0,985.88,24,985.88,1.0
73749,OK,4.0,2.0,2.0,36053.62,30,18026.81,0.5
73750,OK,346.0,279.0,179.0,1154929.6500000001,67,6452.120949720671,0.5173410404624278
73753,OK,1.0,1.0,1.0,8815.67,25,8815.67,1.0
73754,OK,2.0,2.0,1.0,2697.75,57,2697.75,0.5
73755,OK,1.0,1.0,1.0,2616.96,32,2616.96,1.0
73756,OK,11.0,10.0,3.0,3671.3,35,1223.7666666666667,0.2727272727272727
73762,OK,9.0,5.0,3.0,4810.37,106,1603.4566666666667,0.3333333333333333
73763,OK,6.0,5.0,3.0,11039.54,67,3679.846666666667,0.5
73764,OK,7.0,5.0,2.0,12107.380000000001,67,6053.6900000000005,0.2857142857142857
73771,OK,2.0,2.0,1.0,9000.0,32,9000.0,0.5
73772,OK,554.0,496.0,187.0,619560.41,32,3313.157272727273,0.33754512635379064
73773,OK,6.0,6.0,5.0,10940.71,25,2188.142,0.8333333333333334
73801,OK,41.0,40.0,30.0,209359.85,67,6978.661666666667,0.7317073170731707
73834,OK,3.0,3.0,3.0,20876.0,65,6958.666666666667,1.0
73840,OK,1.0,1.0,1.0,1399.03,27,1399.03,1.0
73852,OK,2.0,2.0,2.0,18000.0,28,9000.0,1.0
73859,OK,4.0,4.0,1.0,2287.38,33,2287.38,0.25
73932,OK,2.0,2.0,2.0,18000.0,25,9000.0,1.0
73942,OK,36.0,33.0,23.0,146123.38,20,6353.1904347826085,0.6388888888888888
73945,OK,7.0,6.0,2.0,6954.56,20,3477.28,0.2857142857142857
73951,OK,2.0,2.0,1.0,762.0,20,762.0,0.5
74001,OK,68.0,62.0,47.0,363444.48,77,7732.861276595744,0.6911764705882353
74002,OK,16.0,12.0,4.0,23807.5,39,5951.875,0.25
74003,OK,284.0,235.0,129.0,770941.6,69,5976.291472868217,0.45422535211267606
74006,OK,227.0,206.0,125.0,672813.5700000001,30,5382.50856,0.5506607929515418
74008,OK,83.0,72.0,32.0,165865.18000000002,78,5183.286875000001,0.3855421686746988
74010,OK,118.0,94.0,60.0,627539.14,84,10458.985666666667,0.5084745762711864
74011,OK,71.0,57.0,15.0,77968.77,85,5197.918000000001,0.2112676056338028
