disasterNumber,state,county,city,zipcode,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,id,county_type
4222,OK,Seminole,HOLDENVILLE,74848,2.0,2,0,0,1.0,1.0,815.97,1,1,815.97,0,0,0,623ecc48cbab24a500f1aad1,County)
4222,OK,Seminole,KONAWA,74849,44.0,33,10,1,36.0,21.0,47051.72,35,20,39113.47,16,6,7938.25,623ecc48cbab24a500f1aad2,County)
4222,OK,Seminole,OKEMAH,74859,5.0,3,2,0,5.0,3.0,1293.15,5,2,905.55,1,1,387.6,623ecc48cbab24a500f1aad4,County)
4222,OK,Seminole,SASAKWA,74867,19.0,9,8,2,18.0,10.0,24836.99,18,8,21102.43,8,4,3734.56,623ecc48cbab24a500f1aad5,County)
4222,OK,Seminole,WEWOKA,74859,1.0,1,0,0,1.0,1.0,4631.53,1,1,4631.53,0,0,0,623ecc48cbab24a500f1aad8,County)
4222,OK,Tillman,HEADRICK,73549,1.0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc48cbab24a500f1aae3,County)
4222,OK,Tillman,TIPTON,73570,14.0,13,1,0,12.0,6.0,19501.48,12,5,17958.02,6,3,1543.46,623ecc48cbab24a500f1aae6,County)
4222,OK,Tulsa,COLLINSVILLE,74021,1.0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc48cbab24a500f1aaea,County)
4222,OK,Tulsa,MOUNDS,74047,11.0,2,9,0,11.0,7.0,24779.690000000002,11,7,23460.5,2,1,1319.19,623ecc48cbab24a500f1aaed,County)
4222,OK,Tulsa,SPERRY,74073,2.0,2,0,0,1.0,0.0,0.0,1,0,0,1,0,0,623ecc48cbab24a500f1aaf0,County)
4222,OK,Tulsa,TULSA,74107,4.0,0,4,0,4.0,2.0,2321.34,4,2,2321.34,1,0,0,623ecc48cbab24a500f1aaf3,County)
4222,OK,Tulsa,TULSA,74127,3.0,3,0,0,3.0,1.0,2796.42,3,1,2796.42,1,0,0,623ecc48cbab24a500f1aaf9,County)
4222,OK,Tulsa,TULSA,74145,1.0,1,0,0,1.0,0.0,0.0,0,0,0,1,0,0,623ecc48cbab24a500f1ab01,County)
4222,OK,Coal,BROMIDE,74530,1.0,1,0,0,1.0,0.0,0.0,1,0,0,0,0,0,623ecc48cbab24a500f1a971,County)
4222,OK,Coal,CENTRAHOMA,74534,2.0,2,0,0,1.0,1.0,8342.6,0,0,0,1,1,8342.6,623ecc48cbab24a500f1a972,County)
4222,OK,Coal,COALGATE,74538,14.0,8,5,1,12.0,3.0,4645.98,12,3,4645.98,2,0,0,623ecc48cbab24a500f1a974,County)
4222,OK,Comanche,MEDICINE PARK,73557,6.0,2,3,1,5.0,2.0,3706.4700000000003,5,2,3706.4700000000003,1,0,0,623ecc48cbab24a500f1a985,County)
4222,OK,Cotton,RANDLETT,73562,10.0,8,1,1,10.0,3.0,11511.81,10,3,10955.380000000001,1,1,556.43,623ecc48cbab24a500f1a989,County)
4222,OK,Delaware,AFTON,74331,2.0,2,0,0,1.0,0.0,0.0,1,0,0,1,0,0,623ecc48cbab24a500f1a98c,County)
4222,OK,Delaware,KANSAS,74347,1.0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc48cbab24a500f1a990,County)
4222,OK,Garvin,BYARS,74831,1.0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc48cbab24a500f1a991,County)
4222,OK,Grady,AMBER,73004,12.0,10,2,0,11.0,5.0,35568.840000000004,11,5,35042.03,2,1,526.81,623ecc48cbab24a500f1a99c,County)
4222,OK,Hughes,HOLDENVILLE,74848,61.0,36,18,7,50.0,25.0,55792.93,49,25,55792.93,15,0,0,623ecc48cbab24a500f1a9ab,County)
4222,OK,Hughes,WETUMKA,74883,10.0,6,3,1,8.0,2.0,1984.94,8,2,1984.94,3,0,0,623ecc48cbab24a500f1a9ae,County)
4222,OK,Johnston,ADA,74820,1.0,1,0,0,1.0,1.0,2768.11,1,1,2768.11,1,0,0,623ecc48cbab24a500f1a9b7,County)
4222,OK,Johnston,ARDMORE,73401,1.0,0,1,0,1.0,1.0,12820.04,1,1,12820.04,1,0,0,623ecc48cbab24a500f1a9b8,County)
4222,OK,Kiowa,MOUNTAIN VIEW,73062,5.0,4,1,0,5.0,2.0,7499.14,5,2,7279.15,1,1,219.99,623ecc48cbab24a500f1a9c8,County)
4222,OK,Kiowa,ROOSEVELT,73564,9.0,7,1,1,9.0,3.0,5628.27,9,3,5628.27,4,0,0,623ecc48cbab24a500f1a9c9,County)
4222,OK,Latimer,RED OAK,74563,3.0,3,0,0,3.0,3.0,4067.41,3,3,4067.41,2,0,0,623ecc48cbab24a500f1a9cc,County)
4222,OK,Latimer,TUSKAHOMA,74574,2.0,2,0,0,2.0,1.0,496.0,2,1,496,0,0,0,623ecc48cbab24a500f1a9ce,County)
4222,OK,LeFlore,CAMERON,74932,7.0,6,0,1,5.0,2.0,14546.48,5,2,14546.48,1,0,0,623ecc48cbab24a500f1a9d3,County)
4222,OK,LeFlore,KEOTA,74941,1.0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc48cbab24a500f1a9d7,County)
4222,OK,LeFlore,PANAMA,74930,1.0,1,0,0,1.0,1.0,3940.0,1,1,3940,0,0,0,623ecc48cbab24a500f1a9d9,County)
4222,OK,LeFlore,PANAMA,74951,10.0,7,1,2,10.0,4.0,19609.32,10,4,19609.32,1,0,0,623ecc48cbab24a500f1a9da,County)
4222,OK,LeFlore,POCOLA,74902,10.0,9,1,0,8.0,8.0,78775.94,8,8,67957.34999999999,6,4,10818.59,623ecc48cbab24a500f1a9db,County)
4222,OK,LeFlore,SHADY POINT,74956,26.0,20,4,2,21.0,2.0,1282.65,20,2,1282.65,5,0,0,623ecc48cbab24a500f1a9dd,County)
4222,OK,Lincoln,MCLOUD,74851,1.0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,623ecc48cbab24a500f1a9e3,County)
4222,OK,Lincoln,PRAGUE,74864,5.0,2,2,1,4.0,0.0,0.0,4,0,0,1,0,0,623ecc48cbab24a500f1a9e5,County)
4222,OK,Lincoln,WELLSTON,74881,8.0,4,1,3,8.0,3.0,13592.24,8,3,12224.05,4,1,1368.19,623ecc48cbab24a500f1a9e7,County)
4222,OK,Love,OVERBROOK,73453,2.0,2,0,0,1.0,0.0,0.0,0,0,0,1,0,0,623ecc48cbab24a500f1a9f0,County)
4222,OK,Marshall,KINGSTON,73439,157.0,124,26,7,118.0,52.0,438089.52,117,50,418129.7,41,8,19959.82,623ecc48cbab24a500f1a9f2,County)
4222,OK,Mayes,CHOUTEAU,74337,12.0,9,2,1,10.0,5.0,26448.76,10,5,24835.559999999998,3,1,1613.2,623ecc48cbab24a500f1a9f7,County)
4222,OK,Mayes,PRYOR,74361,6.0,5,1,0,4.0,2.0,2370.29,4,2,2370.29,2,0,0,623ecc48cbab24a500f1a9fa,County)
4222,OK,McClain,NORMAN,73072,6.0,6,0,0,4.0,2.0,12780.400000000001,4,2,12780.400000000001,0,0,0,623ecc48cbab24a500f1aa05,County)
4222,OK,McCurtain,CLAYTON,74536,1.0,1,0,0,1.0,1.0,6400.0,0,0,0,1,1,6400,623ecc48cbab24a500f1aa0c,County)
